year,quarter,region,average_price_houses_sold,total_value_house_sales,total_number_house_sales,data_note,footnotes,data_source,region_code,geographic_boundary
2025,1,Whitehorse - City,712700,29934600,42,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH'>View boundary on map</a>
2025,1,Whitehorse - Copper Ridge,825700,5780100,7,Includes Ingram and Logan since 2008,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.CR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.CR'>View boundary on map</a>
2025,1,Whitehorse - Country Residential,,,,Includes Wolf Creek; Pineridge; Mary Lake; MacPherson; Hidden Valley; etc.,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.CNTRYRES,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.CNTRYRES'>View boundary on map</a>
2025,1,Whitehorse - Downtown,542300,1627000,3,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.DT,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.DT'>View boundary on map</a>
2025,1,Whitehorse - Granger,,,,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.GR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.GR'>View boundary on map</a>
2025,1,Whitehorse - Other,,,,Includes house sales in Hillcrest; Crestview; and Valleyview,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.OTH'>View boundary on map</a>
2025,1,Whitehorse - Porter Creek,672200,4705500,7,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.PC'>View boundary on map</a>
2025,1,Whitehorse - Riverdale,,,,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.RD,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.RD'>View boundary on map</a>
2025,1,Whitehorse - Takhini,,,,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.TK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.TK'>View boundary on map</a>
2025,1,Whitehorse - Whistle Bend,715500,15025500,21,,Figures are derived from the Yukon Real Estate Survey. Q1 = first quarter (Jan/Feb/Mar). Q2 = Apr/May/Jun. Q3 = Jul/Aug/Sep. Q4 = Oct/Nov/Dec). Blank values indicate suppressed data for confidentiality or not applicable. When the number of transactions for a property type is small (generally less than five) the total as well as the average value of transactions should be used with caution.,Government of Yukon: Bureau of Statistics,YK.WH.WB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/bbc1ef60c012486f9bd303591b6c3482#GEO_CODE=YK.WH.WB'>View boundary on map</a>
