year,region,number_of_businesses,number_of_workers_reported,data_note,footnotes,data_source,region_code,geographic_boundary
2021,Beaver Creek,4,13,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2021,Burwash Landing,3,10,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2021,Carcross,13,56,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2021,Carmacks,15,65,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2021,Dawson,154,760,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2021,Destruction Bay,3,11,Since 2003 Destruction Bay is included in Haines Junction.,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2021,Faro,14,52,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2021,Haines Junction,61,196,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2021,Marsh Lake,26,88,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2021,Mayo,29,109,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2021,Old Crow,5,17,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2021,Pelly Crossing,5,17,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2021,Ross River,2,18,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2021,Tagish,11,24,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2021,Teslin,24,85,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2021,Watson Lake,56,266,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2021,Whitehorse - City,1856,12641,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2021,Yukon - Other,8,41,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2021,Yukon,2289,14469,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2019,Beaver Creek,5,29,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2019,Burwash Landing,7,29,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2019,Carcross,24,149,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2019,Carmacks,18,123,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2019,Destruction Bay,,6,Since 2003 Destruction Bay is included in Haines Junction.,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2019,Dawson,228,1363,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2019,Faro,28,77,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2019,Haines Junction,66,243,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2019,Marsh Lake,31,91,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2019,Mayo,34,83,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2019,Old Crow,7,23,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2019,Pelly Crossing,8,26,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2019,Ross River,7,26,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2019,Tagish,22,45,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2019,Teslin,29,105,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2019,Watson Lake,66,274,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2019,Whitehorse - City,1657,12718,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2019,Yukon - Other,,14,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2019,Yukon,2237,15424,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2017,Beaver Creek,6,28,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2017,Burwash Landing,9,20,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2017,Carcross,29,101,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2017,Carmacks,15,47,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2017,Destruction Bay,4,8,Since 2003 Destruction Bay is included in Haines Junction.,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2017,Dawson,261,1404,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2017,Faro,16,37,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2017,Haines Junction,79,232,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2017,Marsh Lake,41,52,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2017,Mayo,34,99,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2017,Old Crow,3,9,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2017,Pelly Crossing,7,28,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2017,Ross River,10,26,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2017,Tagish,16,25,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2017,Teslin,26,98,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.TE,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TE'>View boundary on map</a>
2017,Watson Lake,84,333,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2017,Whitehorse - City,2391,11577,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2017,Yukon - Other,5,20,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2017,Yukon,3039,14148,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2015,Beaver Creek,9,37,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2015,Burwash Landing,12,12,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2015,Carcross,26,106,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2015,Carmacks,32,81,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2015,Destruction Bay,4,19,Since 2003 Destruction Bay is included in Haines Junction.,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2015,Dawson,254,1218,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2015,Faro,30,47,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2015,Haines Junction,100,224,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2015,Marsh Lake,35,50,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MLK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MLK'>View boundary on map</a>
2015,Mayo,43,83,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2015,Old Crow,8,17,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2015,Pelly Crossing,9,11,,Figures are derived from the Yukon Business Survey. The survey design and the selection criteria of the types of businesses included in the survey have varied depending on the focus in any given year. Therefore direct comparisons over time should be used with caution.,Government of Yukon; Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
