year,month,region,all_benefits,regular_benefits,data_note,footnotes,data_source,region_code,geographic_boundary
2010,7,Old Crow,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001043,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>
2010,7,Pelly Crossing,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001041,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001041'>View boundary on map</a>
2010,7,Ross River,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001037,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001037'>View boundary on map</a>
2010,7,Tagish,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001036,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001036'>View boundary on map</a>
2010,7,Whitehorse - City,660,430,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001009,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001009'>View boundary on map</a>
2010,7,Watson Lake,50,40,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001003,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001003'>View boundary on map</a>
2010,6,Yukon,1010,710,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001'>View boundary on map</a>
2010,6,Beaver Creek,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001042,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001042'>View boundary on map</a>
2010,6,Burwash Landing,10,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001039,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001039'>View boundary on map</a>
2010,6,Carmacks,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001012,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001012'>View boundary on map</a>
2010,6,Dawson,70,50,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001029,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001029'>View boundary on map</a>
2010,6,Faro,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001004,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001004'>View boundary on map</a>
2010,6,Haines Junction,40,30,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001018,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001018'>View boundary on map</a>
2010,6,Marsh Lake,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001058,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001058'>View boundary on map</a>
2010,6,Mayo,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001022,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001022'>View boundary on map</a>
2010,6,Mt. Lorne,0,0,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001044,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001044'>View boundary on map</a>
2010,6,Old Crow,10,10,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001043,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001043'>View boundary on map</a>
2010,6,Pelly Crossing,30,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001041,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001041'>View boundary on map</a>
2010,6,Ross River,20,20,,"A value of ""0"" in any given cell represents one of the following: 1) value is actually zero; 2) value may be rounded to zero; or 3) value is more than zero but is suppressed for confidentiality reasons.",Statistics Canada: Employment Insurance Statistics Program - Special Tabulation,6001037,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/f500beb3f949470e94edf7880dbc0561#GEO_CODE=6001037'>View boundary on map</a>
