census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Haines Junction,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs85'>85</a>,6001018
2011,Haines Junction,Total labour force aged 15 years and over by class of worker,,All classes of worker,390,190,200,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001018
2011,Haines Junction,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,350,165,185,,,,,,6001018
2011,Haines Junction,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,45,25,20,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs87'>87</a>,6001018
2011,Mt. Lorne,,,Total labour force aged 15 years and over by class of worker,255,140,115,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs84'>84</a>,6001044
2011,Mt. Lorne,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs85'>85</a>,6001044
2011,Mt. Lorne,Total labour force aged 15 years and over by class of worker,,All classes of worker,255,135,120,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001044
2011,Mt. Lorne,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,220,115,100,,,,,,6001044
2011,Mt. Lorne,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,35,20,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs87'>87</a>,6001044
2011,Old Crow,,,Total labour force aged 15 years and over by class of worker,135,80,60,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs84'>84</a>,6001043
2011,Old Crow,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs85'>85</a>,6001043
2011,Old Crow,Total labour force aged 15 years and over by class of worker,,All classes of worker,135,80,60,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001043
2011,Old Crow,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,135,75,55,,,,,,6001043
2011,Old Crow,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs87'>87</a>,6001043
2011,Pelly Crossing,,,Total labour force aged 15 years and over by class of worker,190,110,80,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs84'>84</a>,6001041
2011,Pelly Crossing,Total labour force aged 15 years and over by class of worker,,Class of worker - not applicable,25,20,10,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs85'>85</a>,6001041
2011,Pelly Crossing,Total labour force aged 15 years and over by class of worker,,All classes of worker,160,90,70,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001041
2011,Pelly Crossing,Total labour force aged 15 years and over by class of worker,All classes of worker,Employee,160,95,70,,,,,,6001041
2011,Pelly Crossing,Total labour force aged 15 years and over by class of worker,All classes of worker,Self-employed,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs87'>87</a>,6001041
2011,Ross River,,,Total labour force aged 15 years and over by class of worker,210,115,100,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs84'>84</a>,6001037
