census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Beaver Creek,Total number of occupied private dwellings by period of construction,,1961 to 1980,15,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by period of construction,,1981 to 1990,10,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by period of construction,,1991 to 2000,15,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by period of construction,,2001 to 2005,0,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by period of construction,,2006 to 2011,0,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs100'>100</a>,6001042
2011,Beaver Creek,,,Total number of occupied private dwellings by number of rooms,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs101'>101</a>,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of rooms,,1 to 4 rooms,25,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of rooms,,5 rooms,15,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of rooms,,6 rooms,10,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of rooms,,7 rooms,10,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of rooms,,8 or more rooms,0,,,,...,...,,,6001042
2011,Beaver Creek,,,Average number of rooms per dwelling,4.9,,,,...,...,,,6001042
2011,Beaver Creek,,,Total number of occupied private dwellings by number of bedrooms,55,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs102'>102</a>,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of bedrooms,,0 to 1 bedroom,10,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of bedrooms,,2 bedrooms,20,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of bedrooms,,3 bedrooms,20,,,,...,...,,,6001042
2011,Beaver Creek,Total number of occupied private dwellings by number of bedrooms,,4 or more bedrooms,10,,,,...,...,,,6001042
2011,Burwash Landing,,,Total number of occupied private dwellings by condition of dwelling,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs98'>98</a>,6001039
2011,Burwash Landing,Total number of occupied private dwellings by condition of dwelling,,Only regular maintenance or minor repairs needed,35,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by condition of dwelling,,Major repairs needed,15,,,,...,...,,,6001039
2011,Burwash Landing,,,Total number of occupied private dwellings by period of construction,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs99'>99</a>,6001039
2011,Burwash Landing,Total number of occupied private dwellings by period of construction,,1960 or before,0,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by period of construction,,1961 to 1980,10,,,,...,...,,,6001039
2011,Burwash Landing,Total number of occupied private dwellings by period of construction,,1981 to 1990,10,,,,...,...,,,6001039
