census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Dawson,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,785,375,400,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs95'>95</a>,6001049
2011,Dawson,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,400,210,185,,,,,,6001049
2011,Dawson,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,70,60,10,,,,,,6001049
2011,Dawson,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,0,0,0,,,,,,6001049
2011,Dawson,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,210,75,135,,,,,,6001049
2011,Dawson,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,50,0,40,,,,,,6001049
2011,Dawson,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,15,15,0,,,,,,6001049
2011,Dawson,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,780,380,405,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs96'>96</a>,6001049
2011,Dawson,,,Median commuting duration,Median commuting duration,5.9,10.2,5.7,,,,,,6001049
2011,Dawson,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,780,375,405,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs97'>97</a>,6001049
2011,Dawson,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,90,30,60,,,,,,6001049
2011,Dawson,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,495,270,225,,,,,,6001049
2011,Dawson,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,195,85,115,,,,,,6001049
2011,Faro,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,Mode of transportation,155,85,75,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs95'>95</a>,6001004
2011,Faro,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a driver,Mode of transportation,115,65,45,,,,,,6001004
2011,Faro,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Car; truck or van - as a passenger,Mode of transportation,10,0,10,,,,,,6001004
2011,Faro,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Public transit,Mode of transportation,0,0,0,,,,,,6001004
2011,Faro,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Walked,Mode of transportation,30,10,20,,,,,,6001004
2011,Faro,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Bicycle,Mode of transportation,0,0,0,,,,,,6001004
2011,Faro,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by mode of transportation,,Other methods,Mode of transportation,0,0,0,,,,,,6001018
2011,Faro,,,Total employed population aged 15 years and over with a usual place of work or no fixed workplace address by median commuting duration,Median commuting duration,155,80,70,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs96'>96</a>,6001018
2011,Faro,,,Median commuting duration,Median commuting duration,10.3,15.1,5.9,,,,,,6001018
2011,Faro,,,Total employed population aged 15 years and over by time leaving for work,Time leaving for work,155,80,70,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs97'>97</a>,6001018
2011,Faro,Total employed population aged 15 years and over by time leaving for work,,Between 5 and 6:59 a.m.,Time leaving for work,50,35,15,,,,,,6001018
2011,Faro,Total employed population aged 15 years and over by time leaving for work,,Between 7 and 9:00 a.m.,Time leaving for work,85,35,50,,,,,,6001018
2011,Faro,Total employed population aged 15 years and over by time leaving for work,,Anytime after 9:00 a.m.,Time leaving for work,20,15,10,,,,,,6001018
