census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Beaver Creek,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,9 Occupations in manufacturing and utilities,0,0,0,,,,,,6001042
2011,Burwash Landing,,,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,55,30,20,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs88'>88</a>,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,Occupation - not applicable,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs89'>89</a>,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,All occupations,55,30,20,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,0 Management occupations,15,10,10,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,1 Business; finance and administration occupations,0,0,0,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,2 Natural and applied sciences and related occupations,0,0,0,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,3 Health occupations,0,0,0,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,4 Occupations in education; law and social; community and government services,10,0,10,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,5 Occupations in art; culture; recreation and sport,0,0,0,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,6 Sales and service occupations,10,0,10,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,7 Trades; transport and equipment operators and related occupations,20,15,0,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,8 Natural resources; agriculture and related production occupations,0,0,0,,,,,,6001039
2011,Burwash Landing,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,9 Occupations in manufacturing and utilities,0,0,0,,,,,,6001039
2011,Carcross,,,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,165,100,70,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs88'>88</a>,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,Occupation - not applicable,15,10,10,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs89'>89</a>,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,All occupations,155,90,70,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,0 Management occupations,25,15,10,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,1 Business; finance and administration occupations,15,0,15,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,2 Natural and applied sciences and related occupations,10,0,0,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,3 Health occupations,0,0,0,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,4 Occupations in education; law and social; community and government services,30,10,25,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,5 Occupations in art; culture; recreation and sport,10,0,0,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,6 Sales and service occupations,20,10,10,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,7 Trades; transport and equipment operators and related occupations,40,35,0,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,8 Natural resources; agriculture and related production occupations,10,0,0,,,,,,6001048
2011,Carcross,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,9 Occupations in manufacturing and utilities,0,0,0,,,,,,6001048
2011,Carcross Region,,,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,200,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,Occupation - not applicable,15,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,All occupations,185,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,0 Management occupations,25,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,1 Business; finance and administration occupations,20,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,2 Natural and applied sciences and related occupations,10,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,3 Health occupations,0,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,4 Occupations in education; law and social; community and government services,35,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,5 Occupations in art; culture; recreation and sport,0,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,6 Sales and service occupations,25,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,7 Trades; transport and equipment operators and related occupations,45,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,8 Natural resources; agriculture and related production occupations,10,,,,,,,,YBS048008
2011,Carcross Region,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,9 Occupations in manufacturing and utilities,0,,,,,,,,YBS048008
2011,Carcross 4,,,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,30,15,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs88'>88</a>,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,Occupation - not applicable,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs89'>89</a>,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,,All occupations,30,20,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs86'>86</a>,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,0 Management occupations,0,0,0,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,1 Business; finance and administration occupations,0,0,0,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,2 Natural and applied sciences and related occupations,0,0,0,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,3 Health occupations,0,0,0,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,4 Occupations in education; law and social; community and government services,10,0,10,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,5 Occupations in art; culture; recreation and sport,0,0,0,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,6 Sales and service occupations,10,0,0,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,7 Trades; transport and equipment operators and related occupations,10,10,0,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,8 Natural resources; agriculture and related production occupations,0,0,0,,,,,,6001008
2011,Carcross 4,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,All occupations,9 Occupations in manufacturing and utilities,0,0,0,,,,,,6001008
2011,Carcross-Tagish Region,,,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,390,,,,,,,,YBS048008036
