census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Destruction Bay,,,Total population 15 years and over by marital status,,,,x,x,x,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001029
2011,Destruction Bay,Total population 15 years and over by marital status,,Married or living with a common-law partner,,,,x,x,x,,,6001029
2011,Destruction Bay,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,x,x,x,,,6001029
2011,Destruction Bay,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,x,x,x,,,6001029
2011,Destruction Bay,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,,,,x,x,x,,,6001029
2011,Destruction Bay,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,x,x,x,,,6001029
2011,Destruction Bay,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,x,x,x,,,6001029
2011,Destruction Bay,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,x,x,x,,,6001029
2011,Destruction Bay,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,x,x,x,,,6001029
2011,Faro,,,Total population 15 years and over by marital status,295,160,135,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001004
2011,Faro,Total population 15 years and over by marital status,,Married or living with a common-law partner,175,90,90,,,,,,6001004
2011,Faro,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),135,65,65,,,,,,6001004
2011,Faro,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,40,20,20,,,,,,6001004
2011,Faro,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,115,70,45,,,,,,6001004
2011,Faro,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),70,40,30,,,,,,6001004
2011,Faro,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,15,5,5,,,,,,6001004
2011,Faro,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,20,15,5,,,,,,6001004
2011,Faro,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,10,10,5,,,,,,6001004
2011,Haines Junction,,,Total population 15 years and over by marital status,480,225,260,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001004
2011,Haines Junction,Total population 15 years and over by marital status,,Married or living with a common-law partner,280,140,140,,,,,,6001004
2011,Haines Junction,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),185,95,90,,,,,,6001004
2011,Haines Junction,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,95,50,50,,,,,,6001004
2011,Haines Junction,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,205,85,120,,,,,,6001004
2011,Haines Junction,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),140,65,75,,,,,,6001004
2011,Haines Junction,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,15,10,10,,,,,,6001004
2011,Haines Junction,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,30,15,15,,,,,,6001004
2011,Haines Junction,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,20,5,20,,,,,,6001004
2011,Ibex Valley,,,Total population 15 years and over by marital status,295,145,145,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001055
2011,Ibex Valley,Total population 15 years and over by marital status,,Married or living with a common-law partner,195,100,100,,,,,,6001055
2011,Ibex Valley,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),125,60,60,,,,,,6001055
2011,Ibex Valley,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,75,35,35,,,,,,6001055
2011,Ibex Valley,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,100,50,50,,,,,,6001055
2011,Ibex Valley,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),70,35,35,,,,,,6001055
2011,Ibex Valley,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,10,5,0,,,,,,6001055
2011,Ibex Valley,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,10,5,5,,,,,,6001055
2011,Ibex Valley,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,5,5,5,,,,,,6001055
2011,Johnsons Crossing,,,Total population 15 years and over by marital status,,,,x,x,x,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001055
2011,Johnsons Crossing,Total population 15 years and over by marital status,,Married or living with a common-law partner,,,,x,x,x,,,6001055
2011,Johnsons Crossing,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,x,x,x,,,6001055
2011,Johnsons Crossing,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,x,x,x,,,6001055
2011,Johnsons Crossing,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,,,,x,x,x,,,6001055
2011,Johnsons Crossing,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,x,x,x,,,6001055
2011,Johnsons Crossing,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,x,x,x,,,6001055
2011,Johnsons Crossing,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,x,x,x,,,6001055
2011,Johnsons Crossing,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,x,x,x,,,6001055
2011,Keno Hill,,,Total population 15 years and over by marital status,,,,x,x,x,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001052
2011,Keno Hill,Total population 15 years and over by marital status,,Married or living with a common-law partner,,,,x,x,x,,,6001052
2011,Keno Hill,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,x,x,x,,,6001052
2011,Keno Hill,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,x,x,x,,,6001052
2011,Keno Hill,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,,,,x,x,x,,,6001052
2011,Keno Hill,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,x,x,x,,,6001052
2011,Keno Hill,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,x,x,x,,,6001052
2011,Keno Hill,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,x,x,x,,,6001052
2011,Keno Hill,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,x,x,x,,,6001052
2011,Kloo Lake,,,Total population 15 years and over by marital status,,,,x,x,x,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001052
2011,Kloo Lake,Total population 15 years and over by marital status,,Married or living with a common-law partner,,,,x,x,x,,,6001052
2011,Kloo Lake,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,x,x,x,,,6001052
2011,Kloo Lake,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,x,x,x,,,6001052
2011,Kloo Lake,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,,,,x,x,x,,,6001052
2011,Kloo Lake,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,x,x,x,,,6001052
2011,Kloo Lake,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,x,x,x,,,6001052
2011,Kloo Lake,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,x,x,x,,,6001052
2011,Kloo Lake,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,x,x,x,,,6001052
2011,Klukshu,,,Total population 15 years and over by marital status,,,,x,x,x,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001019
2011,Klukshu,Total population 15 years and over by marital status,,Married or living with a common-law partner,,,,x,x,x,,,6001019
2011,Klukshu,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,x,x,x,,,6001019
2011,Klukshu,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,x,x,x,,,6001019
2011,Klukshu,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,,,,x,x,x,,,6001019
2011,Klukshu,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,x,x,x,,,6001019
2011,Klukshu,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,x,x,x,,,6001019
2011,Klukshu,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,x,x,x,,,6001019
2011,Klukshu,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,x,x,x,,,6001019
2011,Lake Laberge 1,,,Total population 15 years and over by marital status,,,,x,x,x,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001010
2011,Lake Laberge 1,Total population 15 years and over by marital status,,Married or living with a common-law partner,,,,x,x,x,,,6001010
2011,Lake Laberge 1,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),,,,x,x,x,,,6001010
2011,Lake Laberge 1,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,,,,x,x,x,,,6001010
2011,Lake Laberge 1,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,,,,x,x,x,,,6001010
2011,Lake Laberge 1,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),,,,x,x,x,,,6001010
2011,Lake Laberge 1,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,,,,x,x,x,,,6001010
2011,Lake Laberge 1,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,,,,x,x,x,,,6001010
2011,Lake Laberge 1,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,,,,x,x,x,,,6001010
2011,Macpherson-Grizzly Valley,,,Total population 15 years and over by marital status,925,470,455,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001059
2011,Macpherson-Grizzly Valley,Total population 15 years and over by marital status,,Married or living with a common-law partner,575,285,285,,,,,,6001059
2011,Macpherson-Grizzly Valley,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),410,205,205,,,,,,6001059
2011,Macpherson-Grizzly Valley,Total population 15 years and over by marital status,Married or living with a common-law partner,Living common law,165,80,85,,,,,,6001059
2011,Macpherson-Grizzly Valley,Total population 15 years and over by marital status,,Not married and not living with a common-law partner,350,185,165,,,,,,6001059
2011,Macpherson-Grizzly Valley,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Single (never legally married),235,120,110,,,,,,6001059
2011,Macpherson-Grizzly Valley,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Separated,20,10,5,,,,,,6001059
2011,Macpherson-Grizzly Valley,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Divorced,75,40,35,,,,,,6001059
2011,Macpherson-Grizzly Valley,Total population 15 years and over by marital status,Not married and not living with a common-law partner,Widowed,25,10,15,,,,,,6001059
2011,Marsh Lake,,,Total population 15 years and over by marital status,555,290,265,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#census6'>6</a>,6001058
2011,Marsh Lake,Total population 15 years and over by marital status,,Married or living with a common-law partner,375,185,185,,,,,,6001058
2011,Marsh Lake,Total population 15 years and over by marital status,Married or living with a common-law partner,Married (and not separated),270,135,135,,,,,,6001058
