census_year,geo_name,category,subcategory,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Mt. Lorne,Total population in private households by citizenship,,Not Canadian citizens,35,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001044
2011,Old Crow,,,Total population in private households by citizenship,240,125,115,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001043
2011,Old Crow,Total population in private households by citizenship,,Canadian citizens,240,130,115,,,,,,6001043
2011,Old Crow,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,50,30,25,,,,,,6001043
2011,Old Crow,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,185,95,85,,,,,,6001043
2011,Old Crow,Total population in private households by citizenship,,Not Canadian citizens,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001043
2011,Pelly Crossing,,,Total population in private households by citizenship,335,185,145,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001041
2011,Pelly Crossing,Total population in private households by citizenship,,Canadian citizens,335,185,150,,,,,,6001041
2011,Pelly Crossing,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,60,25,35,,,,,,6001041
2011,Pelly Crossing,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,275,155,115,,,,,,6001041
2011,Pelly Crossing,Total population in private households by citizenship,,Not Canadian citizens,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001041
2011,Ross River,,,Total population in private households by citizenship,350,190,155,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001037
2011,Ross River,Total population in private households by citizenship,,Canadian citizens,350,195,155,,,,,,6001037
2011,Ross River,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,85,50,30,,,,,,6001037
2011,Ross River,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,265,140,125,,,,,,6001037
2011,Ross River,Total population in private households by citizenship,,Not Canadian citizens,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001037
2011,Teslin Region,,,Total population in private households by citizenship,255,,,,,,,,6001006
2011,Teslin Region,Total population in private households by citizenship,,Canadian citizens,245,,,,,,,,6001006
2011,Teslin Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,70,,,,,,,,6001006
2011,Teslin Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,185,,,,,,,,6001006
2011,Teslin Region,Total population in private households by citizenship,,Not Canadian citizens,0,,,,,,,,6001006
2011,Teslin Post 13,,,Total population in private households by citizenship,140,65,70,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001007
2011,Teslin Post 13,Total population in private households by citizenship,,Canadian citizens,140,65,75,,,,,,6001007
2011,Teslin Post 13,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,30,15,15,,,,,,6001007
2011,Teslin Post 13,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,110,50,55,,,,,,6001007
2011,Teslin Post 13,Total population in private households by citizenship,,Not Canadian citizens,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001007
2011,Upper Liard,,,Total population in private households by citizenship,135,85,55,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001032
2011,Upper Liard,Total population in private households by citizenship,,Canadian citizens,130,85,50,,,,,,6001032
2011,Upper Liard,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,20,15,0,,,,,,6001032
2011,Upper Liard,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,115,65,45,,,,,,6001032
2011,Upper Liard,Total population in private households by citizenship,,Not Canadian citizens,0,0,0,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001032
2011,Watson Lake,,,Total population in private households by citizenship,800,405,395,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs1'>1</a>,6001003
2011,Watson Lake,Total population in private households by citizenship,,Canadian citizens,780,405,375,,,,,,6001003
2011,Watson Lake,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,160,70,95,,,,,,6001003
2011,Watson Lake,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,620,335,285,,,,,,6001003
2011,Watson Lake,Total population in private households by citizenship,,Not Canadian citizens,20,0,15,,,,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs2'>2</a>,6001003
2011,Watson Lake Region,,,Total population in private households by citizenship,1070,,,,,,,,YBS003032033034035
2011,Watson Lake Region,Total population in private households by citizenship,,Canadian citizens,1045,,,,,,,,6001003
2011,Watson Lake Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged under 18,235,,,,,,,,6001003
2011,Watson Lake Region,Total population in private households by citizenship,Canadian citizens,Canadian citizens aged 18 and over,815,,,,,,,,6001003
2011,Watson Lake Region,Total population in private households by citizenship,,Not Canadian citizens,20,,,,,,,,6001003
