census_year,geo_name,category,subcategory,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2011,Whitehorse - City,Number of owner households in non-farm; non-reserve private dwellings,,Average monthly shelter costs for owned dwellings ($),Shelter costs,1287,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs112'>112</a>,6001009
2011,Whitehorse - City,Number of owner households in non-farm; non-reserve private dwellings,,Median value of dwellings ($),Shelter costs,349751,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs113'>113</a>,6001009
2011,Whitehorse - City,Number of owner households in non-farm; non-reserve private dwellings,,Average value of dwellings ($),Shelter costs,363624,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs113'>113</a>,6001009
2011,Whitehorse - City,,,Number of tenant households in non-farm; non-reserve private dwellings,Shelter costs,2780,,,,...,...,,,6001009
2011,Whitehorse - City,Number of tenant households in non-farm; non-reserve private dwellings,,% of tenant households in subsidized housing,Shelter costs,19.1,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs114'>114</a>,6001009
2011,Whitehorse - City,Number of tenant households in non-farm; non-reserve private dwellings,,% of tenant households spending 30% or more of household total income on shelter costs,Shelter costs,40.7,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs115'>115</a>,6001009
2011,Whitehorse - City,Number of tenant households in non-farm; non-reserve private dwellings,,Median monthly shelter costs for rented dwellings ($),Shelter costs,933,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs116'>116</a>,6001009
2011,Whitehorse - City,Number of tenant households in non-farm; non-reserve private dwellings,,Average monthly shelter costs for rented dwellings ($),Shelter costs,1045,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs116'>116</a>,6001009
2011,Alaska Highway North Region,,,Total number of private households by tenure,Household characteristics,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by tenure,,Owner,Household characteristics,225,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by tenure,,Renter,Household characteristics,90,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by tenure,,Band housing,Household characteristics,60,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total number of private households by condominium status,Household characteristics,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by condominium status,,Part of a condominium development,Household characteristics,0,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by condominium status,,Not part of a condominium development,Household characteristics,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total number of private households by number of household maintainers,Household characteristics,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by number of household maintainers,,1 household maintainer,Household characteristics,250,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by number of household maintainers,,2 household maintainers,Household characteristics,110,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by number of household maintainers,,3 or more household maintainers,Household characteristics,10,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total number of private households by age group of primary household maintainers,Household characteristics,380,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by age group of primary household maintainers,,Under 25 years,Household characteristics,15,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by age group of primary household maintainers,,25 to 34 years,Household characteristics,45,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by age group of primary household maintainers,,35 to 44 years,Household characteristics,65,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by age group of primary household maintainers,,45 to 54 years,Household characteristics,95,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by age group of primary household maintainers,,55 to 64 years,Household characteristics,80,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by age group of primary household maintainers,,65 to 74 years,Household characteristics,50,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by age group of primary household maintainers,,75 years and over,Household characteristics,25,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total number of private households by number of persons per room,Household characteristics,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by number of persons per room,,One person or fewer per room,Household characteristics,370,,,,,,,,6001042
2011,Alaska Highway North Region,Total number of private households by number of persons per room,,More than one person per room,Household characteristics,10,,,,,,,,6001042
2011,Alaska Highway North Region,,,Total number of private households by housing suitability,Household characteristics,375,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by housing suitability,,Suitable,Household characteristics,345,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of private households by housing suitability,,Not suitable,Household characteristics,25,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,Shelter costs,315,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,,Spending less than 30% of household total income on shelter costs,Shelter costs,275,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,,Spending 30% or more of household total income on shelter costs,Shelter costs,45,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,Spending 30% or more of household total income on shelter costs,Spending 30% to less than 100% of household total income on shelter costs,Shelter costs,40,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Number of owner households in non-farm; non-reserve private dwellings,Shelter costs,220,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of owner households in non-farm; non-reserve private dwellings,,% of owner households with a mortgage,Shelter costs,47,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of owner households in non-farm; non-reserve private dwellings,,% of owner households spending 30% or more of household total income on shelter costs,Shelter costs,11,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of owner households in non-farm; non-reserve private dwellings,,Median monthly shelter costs for owned dwellings ($),Shelter costs,574,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of owner households in non-farm; non-reserve private dwellings,,Average monthly shelter costs for owned dwellings ($),Shelter costs,771,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of owner households in non-farm; non-reserve private dwellings,,Median value of dwellings ($),Shelter costs,249975,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of owner households in non-farm; non-reserve private dwellings,,Average value of dwellings ($),Shelter costs,275569,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,,,Number of tenant households in non-farm; non-reserve private dwellings,Shelter costs,95,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of tenant households in non-farm; non-reserve private dwellings,,% of tenant households in subsidized housing,Shelter costs,44,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of tenant households in non-farm; non-reserve private dwellings,,% of tenant households spending 30% or more of household total income on shelter costs,Shelter costs,17,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of tenant households in non-farm; non-reserve private dwellings,,Median monthly shelter costs for rented dwellings ($),Shelter costs,700,,,,,,,,YBS042039049018
2011,Alaska Highway North Region,Number of tenant households in non-farm; non-reserve private dwellings,,Average monthly shelter costs for rented dwellings ($),Shelter costs,673,,,,,,,,YBS042039049018
2011,Beaver Creek,,,Total number of private households by tenure,Household characteristics,55,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs103'>103</a>,6001042
2011,Beaver Creek,Total number of private households by tenure,,Owner,Household characteristics,15,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by tenure,,Renter,Household characteristics,20,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by tenure,,Band housing,Household characteristics,20,,,,...,...,,,6001042
2011,Beaver Creek,,,Total number of private households by condominium status,Household characteristics,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs104'>104</a>,6001042
2011,Beaver Creek,Total number of private households by condominium status,,Part of a condominium development,Household characteristics,0,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by condominium status,,Not part of a condominium development,Household characteristics,50,,,,...,...,,,6001042
2011,Beaver Creek,,,Total number of private households by number of household maintainers,Household characteristics,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs105'>105</a>,6001042
2011,Beaver Creek,Total number of private households by number of household maintainers,,1 household maintainer,Household characteristics,50,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by number of household maintainers,,2 household maintainers,Household characteristics,0,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by number of household maintainers,,3 or more household maintainers,Household characteristics,0,,,,...,...,,,6001042
2011,Beaver Creek,,,Total number of private households by age group of primary household maintainers,Household characteristics,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs106'>106</a>,6001042
2011,Beaver Creek,Total number of private households by age group of primary household maintainers,,Under 25 years,Household characteristics,0,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by age group of primary household maintainers,,25 to 34 years,Household characteristics,15,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by age group of primary household maintainers,,35 to 44 years,Household characteristics,10,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by age group of primary household maintainers,,45 to 54 years,Household characteristics,15,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by age group of primary household maintainers,,55 to 64 years,Household characteristics,10,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by age group of primary household maintainers,,65 to 74 years,Household characteristics,0,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by age group of primary household maintainers,,75 years and over,Household characteristics,0,,,,...,...,,,6001042
2011,Beaver Creek,,,Total number of private households by number of persons per room,Household characteristics,55,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs107'>107</a>,6001042
2011,Beaver Creek,Total number of private households by number of persons per room,,One person or fewer per room,Household characteristics,50,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by number of persons per room,,More than one person per room,Household characteristics,0,,,,...,...,,,6001042
2011,Beaver Creek,,,Total number of private households by housing suitability,Household characteristics,50,,,,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs108'>108</a>,6001042
2011,Beaver Creek,Total number of private households by housing suitability,,Suitable,Household characteristics,50,,,,...,...,,,6001042
2011,Beaver Creek,Total number of private households by housing suitability,,Not suitable,Household characteristics,0,,,,...,...,,,6001042
2011,Beaver Creek,,,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,Shelter costs,,,,x,...,...,,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2011-data-notes#nhs109'>109</a>,6001042
2011,Beaver Creek,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,,Spending less than 30% of household total income on shelter costs,Shelter costs,,,,x,...,...,,,6001042
2011,Beaver Creek,Total number of owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio,,Spending 30% or more of household total income on shelter costs,Shelter costs,,,,x,...,...,,,6001042
