census_year,geo_name,category,sub_category,variable_name,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$40;000 to $49;999,165,80,80,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$50;000 to $59;999,135,70,65,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$60;000 to $69;999,140,70,65,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$70;000 to $79;999,85,45,45,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$80;000 to $89;999,60,30,30,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$90;000 to $99;999,50,25,25,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$100;000 and over,70,40,25,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$100;000 to $124;999,40,25,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,With after-tax income,$125;000 and over,25,20,10,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,,,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,1295,645,645,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote19'>19</a>,6001029
2021,Dawson,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,,Without employment income,225,125,105,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,,With employment income,1065,525,545,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,With employment income,Under $5;000 (including loss),110,50,60,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,With employment income,$5;000 to $9;999,65,25,45,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
2021,Dawson,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,With employment income,$10;000 to $19;999,130,55,75,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001029'>View boundary on map</a>,,6001029
