census_year,geo_name,category,sub_category,variable_name,topic,total,male,female,flag_total,flag_male,flag_female,geo_location,data_notes,geo_code
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Multiple Indigenous and non-Indigenous ancestries,Indigenous ancestry,95,60,35,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote74'>74</a>,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Métis and non-Indigenous ancestry only,Indigenous ancestry,65,40,25,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Inuit and non-Indigenous ancestry only,Indigenous ancestry,25,15,10,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,Métis and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous and non-Indigenous ancestries,First Nations (North American Indian) and Métis and Inuit and non-Indigenous ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,,6001
2021,Yukon,Total - Indigenous ancestry for the population in private households - 25% sample data,,Non-Indigenous ancestry only,Indigenous ancestry,30440,15320,15120,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=6001'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote75'>75</a>,6001
2021,Whitehorse - Area,,,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous population,31425,15540,15880,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote44'>44</a>,990
2021,Whitehorse - Area,Total - Indigenous identity for the population in private households - 25% sample data,,Indigenous identity,Indigenous population,5110,2370,2740,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote45'>45</a>,990
2021,Whitehorse - Area,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Single Indigenous responses,Indigenous population,4875,2255,2615,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote46'>46</a>,990
2021,Whitehorse - Area,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,First Nations (North American Indian),Indigenous population,3625,1670,1955,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Métis,Indigenous population,1030,485,540,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Inuk (Inuit),Indigenous population,220,105,115,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Multiple Indigenous responses,Indigenous population,145,80,65,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote47'>47</a>,990
2021,Whitehorse - Area,Total - Indigenous identity for the population in private households - 25% sample data,Indigenous identity,Indigenous responses not included elsewhere,Indigenous population,90,35,55,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote48'>48</a>,990
2021,Whitehorse - Area,Total - Indigenous identity for the population in private households - 25% sample data,,Non-Indigenous identity,Indigenous population,26305,13170,13140,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,,,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,Indigenous population,31425,15540,15880,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote44'>44</a>,990
2021,Whitehorse - Area,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,,Registered or Treaty Indian,Indigenous population,2995,1375,1620,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote49'>49</a>,990
2021,Whitehorse - Area,Total - Registered or Treaty Indian status for the population in private households - 25% sample data,,Not a Registered or Treaty Indian,Indigenous population,28425,14170,14255,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,,,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry,31420,15540,15880,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote68'>68</a>,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,,Indigenous ancestry (only),Indigenous ancestry,2295,1090,1210,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote69'>69</a>,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Single Indigenous ancestry (only),Indigenous ancestry,2135,1025,1115,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote70'>70</a>,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) single ancestry,Indigenous ancestry,1910,910,1000,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Métis single ancestry,Indigenous ancestry,120,65,55,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Inuit single ancestry,Indigenous ancestry,105,50,55,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Multiple Indigenous ancestries (only),Indigenous ancestry,165,65,95,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,<a target='_blank' href='https://community-statistics.service.yukon.ca/pages/census-2021-data-notes#datanote71'>71</a>,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Métis ancestry only,Indigenous ancestry,110,35,75,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),First Nations (North American Indian) and Inuit ancestry only,Indigenous ancestry,50,30,20,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
2021,Whitehorse - Area,Total - Indigenous ancestry for the population in private households - 25% sample data,Indigenous ancestry (only),Métis and Inuit ancestry only,Indigenous ancestry,0,0,0,,,,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/2b0cac7ad3b44cbea449bda319e6a352#GEO_CODE=990'>View boundary on map</a>,,990
